Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
MERCEDES-BENZ Classe a;0;2023;159 000;Automatique;Diesel;Mercedes;Classe A;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-422399.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479904/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a;305000;2020;69 000;Automatique;Diesel;Mercedes;Classe A;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-197031.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480312/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a;0;2025;4 000;Automatique;Diesel;Mercedes;Classe A;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-665009.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469550/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a;337000;2021;69 000;Automatique;Diesel;Mercedes;Classe A;Tanger;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-468959.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479216/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a;0;2025;9 000;Automatique;Diesel;Mercedes;Classe A;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-185529.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449873/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a Élégance;0;2008;249 000;Automatique;Diesel;Mercedes;Classe A;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-514415.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468515/mercedes-benz-classe-a-elegance.html
MERCEDES-BENZ Classe a;0;2024;29 000;Automatique;Diesel;Mercedes;Classe A;;https://www.moteur.ma/media/photos/ads/resized/seat-ibiza-331497.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/471878/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a;0;2023;44 000;Automatique;Diesel;Mercedes;Classe A;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-615627.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472745/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a;0;2025;4 000;Automatique;Diesel;Mercedes;Classe A;;https://www.moteur.ma/media/photos/ads/resized/seat-ateca-812804.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480003/mercedes-benz-classe-a-.html
MERCEDES-BENZ Classe a;340000;2020;139 000;Automatique;Diesel;Mercedes;Classe A;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-a-807034.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463749/mercedes-benz-classe-a-.html
