Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
MERCEDES-BENZ Classe c;0;2019;119 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-540399.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478030/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2022;64 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-381790.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458751/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2023;4 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-131472.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/419556/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c 63s;0;2025;N/A;Automatique;Essence;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-781594.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469179/mercedes-benz-classe-c-63s.html
MERCEDES-BENZ Classe c;0;2019;119 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-563728.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478084/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;430000;2022;139 000;Automatique;Diesel;Mercedes;Classe C;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-689455.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/477827/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2017;84 000;Automatique;Essence;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-931250.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/416132/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;465000;2022;69 000;Automatique;Diesel;Mercedes;Classe C;Tanger;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-348977.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/477337/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c 220d amg line…;0;2023;N/A;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-classe-c-845653.JPG;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/423153/mercedes-benz-classe-c-220d-amg-line-iumportee-neuve.html
MERCEDES-BENZ Classe c;0;2015;299 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-605377.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470764/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2025;4 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-865808.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/473968/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;400000;2017;109 000;Automatique;Diesel;Mercedes;Classe C;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-915349.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/474972/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c 220d (importée…;0;2022;N/A;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-classe-c-314582.JPG;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/362970/mercedes-benz-classe-c-220d-importee-neuve.html
MERCEDES-BENZ Classe c;0;2022;24 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-614086.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448250/mercedes-benz-classe-c-.html
