Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
MERCEDES-BENZ Classe e;350000;2020;57 000;Automatique;Diesel;Mercedes;Classe E;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-669005.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/475814/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e;0;2025;4 000;Automatique;Diesel;Mercedes;Classe E;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-110237.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478758/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e;0;2025;4 000;Automatique;Hybride;Mercedes;Classe E;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-991268.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/477775/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e;0;2025;4 000;Automatique;Hybride;Mercedes;Classe E;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-965231.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/460212/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e;0;2025;4 000;Automatique;Diesel;Mercedes;Classe E;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-664057.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479537/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e;0;2020;99 000;Automatique;Diesel;Mercedes;Classe E;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-853813.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/475693/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e 220d avantgarde;525000;2022;60 000;Automatique;Diesel;Mercedes;Classe E;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-classe-e-720329.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/462113/mercedes-benz-classe-e-220d-avantgarde.html
MERCEDES-BENZ Classe e;510000;2022;64 000;Automatique;Diesel;Mercedes;Classe E;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-206813.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463313/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e;0;2024;9 000;Automatique;Diesel;Mercedes;Classe E;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-480150.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/476981/mercedes-benz-classe-e-.html
MERCEDES-BENZ Classe e;0;2017;64 000;Automatique;Essence;Mercedes;Classe E;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-e-265102.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/452576/mercedes-benz-classe-e-.html
