Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
TOYOTA Yaris;110000;2018;54 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-919263.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480174/toyota-yaris-.html
TOYOTA Yaris Distinctive+…;0;2023;49 000;Manuelle;Essence;Toyota;Yaris;;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-150389.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466669/toyota-yaris-distinctive-2023.html
TOYOTA Yaris;116000;2020;39 000;Manuelle;Essence;Toyota;Yaris;Rabat;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-104860.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480697/toyota-yaris-.html
TOYOTA Yaris;0;2016;149 000;Automatique;Hybride;Toyota;Yaris;;https://www.moteur.ma/media/photos/ads/resized/kia-picanto-196117.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464261/toyota-yaris-.html
TOYOTA Yaris;130000;2021;30 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-399555.png;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/454951/toyota-yaris-.html
TOYOTA Yaris;188000;2022;39 000;Automatique;Hybride;Toyota;Yaris;Rabat;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-439089.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480087/toyota-yaris-.html
TOYOTA Yaris;0;2022;109 000;Automatique;Hybride;Toyota;Yaris;;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-761756.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479582/toyota-yaris-.html
TOYOTA Yaris;55000;2005;199 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-875751.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/477397/toyota-yaris-.html
TOYOTA Yaris 2019;112000;2019;110;Manuelle;Essence;Toyota;Yaris;Rabat;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-692828.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/477117/toyota-yaris-2019.html
TOYOTA Yaris Lounge 1.0l;120000;2018;36 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-340160.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/476922/toyota-yaris-lounge-10l.html
TOYOTA Yaris;120000;2016;73 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-614518.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/476906/toyota-yaris-.html
